Temperature,Humidity,Wind Speed,General Diffuse Flows,Diffuse Flows,Power Consumption
,81.1,0.074,0.084,0.011,1
,71.6,0.072,0.062,0.019,1
,80.1,0.074,0.099,0.019,1
,61.55,4.922,0.062,0.022,1
,72.6,0.071,0.132,0.022,High
13.72,73,0.07,0.059,0.026,High
14.22,81.9,0.071,0.059,0.026,High
aaaaaaa,74.7,0.072,0.106,0.026,High
sssssssss,71.1,0.082,0.048,0.03,High
12.35,78.5,999999,0,0.03,High
17.29,74.5,999999,0,0.03,High
18.03,59.72,999999,0,0.03,high
13.22,77.7,999999,0,0.122,high
13.51,58.18,999999,0,0.122,high
15.85,61.92,999999,0,0.122,high
10.77,65.23,999999,0,0.122,high
21.41,67.08,0.082,0,0.122,high
10.69,72.7,0.085,0.048,0.122,high
14.04,80,0.085,0.048,0.122,High
28.63,29.31,4.903,0.048,0.122,High
22.9,62.1,4.905,0.048,0.122,High
18.63,74.8,4.915,0.048,0.122,High
17.28,72.3,4.924,0.048,0.122,High
20.69,83.3,0.066,0.051,0.122,High
21.2,75.5,0.068,0.051,0.122,High
18.86,81.7,0.069,0.051,0.122,High
15.44,85.4,0.071,0.051,0.122,High
12.3,86,0.073,0.051,0.122,High
12.21,83.6,0.074,0.051,0.122,High
12.8,83,0.075,0.051,0.122,High
19.73,67.56,0.076,0.051,0.122,High
12.11,67.83,0.077,0.051,0.122,High
13.77,80.4,0.08,0.051,0.122,High
12.61,68.2,0.081,0.051,0.122,High
11.52,54.82,0.083,0.051,0.122,High
13.29,72.6,0.083,0.051,0.122,High
16.42,84.7,0.083,0.051,0.122,High
14.31,64.42,0.084,0.051,0.122,High
19.98,76.2,0.095,0.051,0.122,High
20.74,77.8,0.265,0.051,0.122,High
25.67,86,4.916,0.051,0.122,High
25.48,86.3,4.916,0.051,0.122,High
20.17,78,4.917,0.051,0.122,High
19.17,84.2,4.919,0.051,0.122,High
21.01,78.5,4.92,0.051,0.122,High
19.01,85.4,4.92,0.051,0.122,High
18.94,83.6,4.921,0.051,0.122,High
18.72,88.9,4.922,0.051,0.122,High
18.5,82.1,4.923,0.051,0.122,High
21.05,81.7,0.065,0.055,0.122,High
20.39,88.1,0.07,0.055,0.122,High
16.64,77.7,0.071,0.055,0.122,High
20.78,86.3,0.071,0.055,0.122,High
20.75,88,0.071,0.055,0.122,High
11.33,83.5,0.072,0.055,0.122,High
13.2,84.5,0.072,0.055,0.122,High
11.76,84.7,0.072,0.055,0.122,High
14.99,78.8,0.073,0.055,0.122,High
20.72,78.7,0.075,0.055,0.122,High
19.27,86.4,0.075,0.055,0.122,High
13.2,70.5,0.076,0.055,0.122,High
13.89,66.03,0.077,0.055,0.122,High
17.2,64.56,0.08,0.055,0.122,High
19.67,83.1,0.081,0.055,0.122,High
17.09,64.91,0.082,0.055,0.122,High
15.05,66.32,0.082,0.055,0.122,High
11.69,80.7,0.082,0.055,0.122,High
13.3,65.62,0.083,0.055,0.122,High
16.03,65.96,0.083,0.055,0.122,High
13.21,67.62,0.083,0.055,0.122,High
18.93,67.81,0.083,0.055,0.122,High
13.95,63.56,0.084,0.055,0.122,High
11.32,77.1,0.085,0.055,0.122,High
12.45,77.5,0.085,0.055,0.122,High
13.72,62.68,0.086,0.055,0.122,High
8.06,60.7,0.087,0.055,0.122,High
11.38,78.5,0.088,0.055,0.122,High
13.26,58.21,0.089,0.055,0.122,High
10.14,84.5,0.089,0.055,0.122,High
23.82,68.63,4.911,0.055,0.122,High
24.21,85.5,4.914,0.055,0.122,High
19,79.5,4.916,0.055,0.122,High
9.99,59.49,4.917,0.055,0.122,High
25.08,55.32,4.918,0.055,0.122,High
23.09,82.6,4.919,0.055,0.122,High
19.41,83.1,4.92,0.055,0.122,High
24.73,86.6,4.92,0.055,0.122,High
23.24,81.1,0.27,0.058,0.122,High
25.4,85.4,4.923,0.058,0.122,High
20.56,85.2,0.067,0.059,0.122,High
20.51,87.5,0.067,0.059,0.122,High
16.12,86.2,0.069,0.059,0.122,High
19.26,86.8,0.072,0.059,0.122,High
14,60.71,0.075,0.059,0.122,High
13.44,58.95,0.076,0.059,0.122,High
16.1,71.2,0.076,0.059,0.122,High
20.28,89.3,0.078,0.059,0.122,High
13.22,52.17,0.08,0.059,0.122,High
14.97,53.28,0.08,0.059,0.122,High
20.34,60.65,0.08,0.059,0.122,High
8.93,53.09,0.081,0.059,0.122,High
20.98,70.8,0.082,0.059,0.122,High
14.03,70.9,0.082,0.059,0.122,High
15.19,72.7,0.082,0.059,0.122,High
15.34,60.11,0.083,0.059,0.122,High
13.64,69.41,0.083,0.059,0.122,High
17.3,63.28,0.084,0.059,0.122,High
13.58,67.12,0.084,0.059,0.122,High
17.4,67.82,0.084,0.059,0.122,High
16.26,71.4,0.084,0.059,0.122,High
11.46,53.89,0.086,0.059,0.122,High
13.37,77.5,0.086,0.059,0.122,High
10.86,73,0.088,0.059,0.122,High
9.92,58.76,4.92,0.059,0.122,High
16.42,88.3,4.921,0.059,0.122,High
21.08,81.8,0.064,0.062,0.122,High
21.01,81.7,0.065,0.062,0.122,High
20.13,85.4,0.066,0.062,0.122,High
19.33,84.4,0.068,0.062,0.122,High
19.56,86.6,0.068,0.062,0.122,High
14.92,75.2,0.074,0.062,0.122,High
15.1,76.5,0.074,0.062,0.122,High
18.7,63.79,0.081,0.062,0.122,High
7.65,70.1,0.081,0.062,0.122,High
12.34,56.11,0.082,0.062,0.122,High
13.47,67.06,0.082,0.062,0.122,High
15.15,64.65,0.083,0.062,0.122,High
11.66,81.2,0.084,0.062,0.122,High
17.36,61.61,0.086,0.062,0.122,High
11.04,65.42,0.086,0.062,0.122,High
13.41,73.3,0.087,0.062,0.122,High
22.25,58.6,0.103,0.062,0.122,High
23.28,80.4,0.27,0.062,0.122,High
24.24,68.73,4.906,0.062,0.122,High
14.53,60.78,4.911,0.062,0.122,High
24.28,84.2,4.912,0.062,0.122,High
22.45,84.8,4.912,0.062,0.122,High
22.56,66.29,4.913,0.062,0.122,High
23.87,67.5,4.914,0.062,0.122,High
22.96,88.2,4.914,0.062,0.122,High
21.53,78.7,4.918,0.062,0.122,High
19.95,79.7,4.918,0.062,0.122,High
19.01,86.9,4.918,0.062,0.122,High
20.57,69.88,4.919,0.062,0.122,High
24.88,84.5,4.921,0.062,0.122,High
17.44,69.46,4.923,0.062,0.122,High
18.9,81.3,4.923,0.062,0.122,High
19.04,78.8,4.925,0.062,0.122,High
21.29,85.6,0.063,0.066,0.122,High
21.22,87,0.065,0.066,0.122,High
20.99,86.9,0.067,0.066,0.122,High
21.52,83,0.068,0.066,0.122,High
20.06,90.9,0.068,0.066,0.122,High
20.8,74.5,0.07,0.066,0.122,High
14.3,82.8,0.07,0.066,0.122,High
10.24,83.9,0.071,0.066,0.122,High
20.16,85.3,0.071,0.066,0.122,High
21.06,76.8,0.072,0.066,0.122,High
21.04,86.2,0.072,0.066,0.122,High
12.2,68.78,0.074,0.066,0.122,High
13.45,68.59,0.075,0.066,0.122,High
13,82,0.075,0.066,0.122,High
12.65,82.1,0.075,0.066,0.122,High
14.6,88,0.075,0.066,0.122,High
13.72,65.33,0.076,0.066,0.122,High
18.32,91.8,0.078,0.066,0.122,High
11.96,88.5,0.08,0.066,0.122,High
10,69.88,0.082,0.066,0.122,High
20.75,70.9,0.082,0.066,0.122,High
13.2,55.61,0.083,0.066,0.122,High
12.91,67.12,0.085,0.066,0.122,High
24.13,73.1,0.269,0.066,0.122,High
22.95,82.9,0.279,0.066,0.122,High
22.85,83.6,0.286,0.066,0.122,High
26.16,84.4,4.908,0.066,0.122,High
13.32,53.84,4.912,0.066,0.122,High
26.2,84.4,4.913,0.066,0.122,High
24.82,89.1,4.913,0.066,0.122,High
25.94,44.38,4.914,0.066,0.122,High
21.49,75.7,4.915,0.066,0.122,High
24.38,88.7,4.916,0.066,0.122,High
12.25,76.2,4.917,0.066,0.122,High
22.44,76.5,4.917,0.066,0.122,High
21.2,88.3,4.918,0.066,0.122,High
22.13,77,4.919,0.066,0.122,High
22.86,69.99,4.92,0.066,0.122,High
20.9,78.9,4.921,0.066,0.122,High
17.55,88.4,4.921,0.066,0.122,High
13.5,61.24,4.922,0.066,0.122,High
22.95,70.1,4.922,0.066,0.122,High
20.63,61.17,4.923,0.066,0.122,High
22.48,76.8,4.924,0.066,0.122,High
17.71,81.3,4.925,0.066,0.122,High
24.01,84.6,4.926,0.066,0.122,High
21.67,72.3,0.068,0.069,0.122,High
21.24,86.4,0.069,0.069,0.122,High
21.37,75.2,0.07,0.069,0.122,High
16.44,87.1,0.07,0.069,0.122,High
19.28,83,0.073,0.069,0.122,High
20.24,72.6,0.079,0.069,0.122,High
19.95,73.4,0.08,0.069,0.122,High
